stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"603-01","","町畑","","40.491132","141.553508","Z603-01","","0","","","",""
"604-01","","町畑小学校前","","40.492784","141.552060","Z604-01","","0","","","",""
"155-01","","小久保","","40.493513","141.546358","Z155-01","","0","","","",""
"205-02","","桜ヶ丘","","40.497798","141.545953","Z205-02","","0","","","",""
"540-02","","吹上仲町","","40.501167","141.497167","Z540-02","","0","","","",""
"539-02","","吹上栄町","","40.498791","141.496927","Z539-02","","0","","","",""
"541-02","","藤覚","","40.496060","141.497833","Z541-02","","0","","","",""
"106-02","","春日町","","40.494367","141.498367","Z106-02","","0","","","",""
"620-02","","道合","","40.491489","141.498722","Z620-02","","0","","","",""
"402-02","","中居林","","40.488944","141.502689","Z402-02","","0","","","",""
"412-02","","梨子ノ木平","","40.488556","141.505422","Z412-02","","0","","","",""
"14-02","","石手洗団地前","","40.488261","141.507100","Z14-02","","0","","","",""
"110-02","","花水河原","","40.485869","141.510843","Z110-02","","0","","","",""
"200-02","","斎場前","","40.482503","141.510589","Z200-02","","0","","","",""
"241-02","","八戸公園こどもの国通","","40.479917","141.511078","Z241-02","","0","","","",""
"237-02","","商業高校前","","40.476535","141.510912","Z237-02","","0","","","",""
"414-02","","楢館","","40.474060","141.509148","Z414-02","","0","","","",""
"218-02","","志民","","40.469250","141.506481","Z218-02","","0","","","",""
"26-02","","岩ノ沢","","40.464733","141.503889","Z26-02","","0","","","",""
"168-02","","是川団地一丁目","","40.465575","141.502744","Z168-02","","0","","","",""
"169-02","","是川団地二丁目","","40.467492","141.500056","Z169-02","","0","","","",""
"241-01","","八戸公園こどもの国通","","40.479844","141.510867","Z241-01","","0","","","",""
"200-01","","斎場前","","40.482681","141.510422","Z200-01","","0","","","",""
"110-01","","花水河原","","40.485833","141.510722","Z110-01","","0","","","",""
"14-01","","石手洗団地前","","40.488118","141.507146","Z14-01","","0","","","",""
"412-01","","梨子ノ木平","","40.488444","141.505356","Z412-01","","0","","","",""
"402-01","","中居林","","40.489222","141.501233","Z402-01","","0","","","",""
"620-01","","道合","","40.491358","141.498744","Z620-01","","0","","","",""
"106-01","","春日町","","40.493928","141.498189","Z106-01","","0","","","",""
"541-01","","藤覚","","40.495828","141.497800","Z541-01","","0","","","",""
"539-01","","吹上栄町","","40.499308","141.496900","Z539-01","","0","","","",""
"540-01","","吹上仲町","","40.501747","141.497100","Z540-01","","0","","","",""
"160-01","","八戸公園こどもの国入口","","40.475418","141.512998","Z160-01","","0","","","",""
"146-01","","工業高校前","","40.519500","141.500567","Z146-01","","0","","","",""
"705-01","","郵便局通","","40.518227","141.497723","Z705-01","","0","","","",""
"251-03","","城下一丁目","","40.518597","141.491933","Z251-03","","0","","","",""
"565-01","","デーリー東北新聞社前","","40.518249","141.489281","Z565-01","","0","","","",""
"251-04","","城下一丁目","","40.518658","141.492233","Z251-04","","0","","","",""
"705-02","","郵便局通","","40.518399","141.497894","Z705-02","","0","","","",""
"146-02","","工業高校前","","40.519028","141.499278","Z146-02","","0","","","",""
"544-01","","舟見町","","40.524528","141.510101","Z544-01","","0","","","",""
"703-02","","山道","","40.493258","141.522778","Z703-02","","0","","","",""
"39-02","","大館中学校前","","40.490483","141.522844","Z39-02","","0","","","",""
"4-02","","赤坂","","40.481114","141.514943","Z4-02","","0","","","",""
"241-04","","八戸公園こどもの国通","","40.478482","141.513186","Z241-04","","0","","","",""
"14-03","","石手洗団地前","","40.488590","141.508717","Z14-03","","0","","","",""
"654-01","","松ヶ崎","","40.490696","141.509534","Z654-01","","0","","","",""
"216-04","","重地","","40.501134","141.523712","Z216-04","","0","","","",""
"52-02","","新井田畑中","","40.495453","141.517679","Z52-02","","0","","","",""
"654-02","","松ヶ崎","","40.490949","141.509409","Z654-02","","0","","","",""
"615-04","","岬台団地入口","","40.519762","141.563806","Z615-04","","0","","","",""
"613-02","","岬台団地北口","","40.522679","141.564642","Z613-02","","0","","","",""
"212-01","","鮫消防分署前","","40.525232","141.564645","Z212-01","","0","","","",""
"161-01","","小長根","","40.527826","141.559286","Z161-01","","0","","","",""
"220-03","","忍町","","40.529422","141.556774","Z220-03","","0","","","",""
"132-02","","河原木団地南口","","40.533440","141.477165","Z132-02","","0","","","",""
"131-02","","河原木団地","","40.536263","141.474986","Z131-02","","0","","","",""
"159-02","","小田前","","40.539665","141.474058","Z159-02","","0","","","",""
"533-02","","日計","","40.540037","141.476992","Z533-02","","0","","","",""
"436-02","","根岸","","40.540784","141.481015","Z436-02","","0","","","",""
"437-02","","根岸小学校前","","40.539815","141.485270","Z437-02","","0","","","",""
"515-01","","八太郎","","40.537262","141.483949","Z515-01","","0","","","",""
"346-01","","高州一丁目","","40.536119","141.482217","Z346-01","","0","","","",""
"344-01","","石堂四丁目","","40.534249","141.480132","Z344-01","","0","","","",""
"285-01","","城北小学校通","","40.532181","141.478498","Z285-01","","0","","","",""
